Product_ID;Outlet_Location_Type;Outlet_Type;Product_Weight;Product_Fat_Content;Product_Visibility;Product_Type;Product_MRP;Product_Outlet_Sales;Outlet_Establishment;Outlet_Size;Outlet_ID
FDP37;Tier 3;Supermarket Type2;15.6;Low Fat;0.143688905;Breakfast;128.1994;2184.4898;2009;Medium;OUT018
FDI04;Tier 2;Supermarket Type1;13.65;Regular;0.072898645;Frozen Foods;198.1426;1977.426;2004;Small;OUT035
FDV02;Tier 3;Supermarket Type1;16.75;Low Fat;0.060495243;Dairy;169.8106;3251.1014;1987;High;OUT013
FDT55;Tier 3;Supermarket Type1;13.6;Regular;0.043618827;Fruits and Vegetables;156.7946;2840.3028;1987;High;OUT013
FDG21;Tier 1;Supermarket Type1;17.35;Regular;0.146299902;Seafood;150.405;3894.93;1997;Small;OUT046
FDP03;Tier 2;Supermarket Type1;5.15;Regular;0.061165512;Meat;125.6388;2848.2924;2004;Small;OUT035
FDO58;Tier 1;Supermarket Type1;19.6;Low Fat;0.039577173;Snack Foods;166.1526;2960.1468;1997;Small;OUT046
NCH54;Tier 2;Supermarket Type1;13.5;Low Fat;0.072655379;Household;157.792;3994.8;2004;Small;OUT035
FDD38;Tier 1;Supermarket Type1;16.75;Regular;0.008204465;Canned;99.8674;2342.9502;1999;Medium;OUT049
FDX33;Tier 1;Supermarket Type1;9.195;Regular;0.117484834;Snack Foods;158.5578;2406.867;1997;Small;OUT046
FDS28;Tier 3;Supermarket Type1;8.18;Regular;0.082333019;Frozen Foods;58.1588;343.5528;1987;High;OUT013
DRH37;Tier 2;Supermarket Type1;17.6;Low Fat;0.041608488;Soft Drinks;165.4526;1644.526;2004;Small;OUT035
FDB23;Tier 3;Supermarket Type1;19.2;Regular;0.005583951;Starchy Foods;226.9062;4514.124;1987;High;OUT013
DRK12;Tier 1;Supermarket Type1;9.5;Low Fat;0.041951439;Soft Drinks;32.49;865.54;1999;Medium;OUT049
FDE23;Tier 2;Supermarket Type1;17.6;Regular;0.053170949;Starchy Foods;45.606;1724.422;2004;Small;OUT035
DRI11;Tier 1;Supermarket Type1;8.26;Low Fat;0.034457776;Hard Drinks;113.3834;2073.3012;1999;Medium;OUT049
FDZ26;Tier 3;Supermarket Type2;11.6;Regular;0.144604071;Dairy;240.8222;3585.333;2009;Medium;OUT018
DRF49;Tier 1;Supermarket Type1;7.27;Low Fat;0.071077939;Soft Drinks;114.2518;2618.5914;1997;Small;OUT046
FDJ03;Tier 3;Supermarket Type1;12.35;Regular;0.072334667;Dairy;49.1692;886.8456;1987;High;OUT013
FDL24;Tier 2;Supermarket Type1;10.3;Regular;0.024891881;Baking Goods;170.9422;3103.9596;2004;Small;OUT035
FDD56;Tier 3;Supermarket Type2;15.2;Regular;0.104201019;Fruits and Vegetables;176.5054;2976.7918;2009;Medium;OUT018
DRE15;Tier 3;Supermarket Type2;13.35;Low Fat;0.017857847;Dairy;77.5012;1518.024;2009;Medium;OUT018
FDI35;Tier 2;Supermarket Type1;14;Low Fat;0.041283361;Starchy Foods;182.4634;5452.902;2004;Small;OUT035
FDO57;Tier 1;Supermarket Type1;20.75;Low Fat;0.108879177;Snack Foods;161.5578;320.9156;1999;Medium;OUT049
FDZ46;Tier 1;Supermarket Type1;7.485;Low Fat;0.069231189;Snack Foods;112.1228;1215.7508;1999;Medium;OUT049
FDE29;Tier 3;Supermarket Type2;8.905;Low Fat;0.143712172;Frozen Foods;60.2878;1151.1682;2009;Medium;OUT018
DRZ11;Tier 3;Supermarket Type1;8.85;Regular;0.112571187;Soft Drinks;122.0388;1609.9044;1987;High;OUT013
FDJ10;Tier 3;Supermarket Type1;5.095;Regular;0.129395895;Snack Foods;140.3838;1826.2894;1987;High;OUT013
NCJ06;Tier 2;Supermarket Type1;20.1;Low Fat;0.034646067;Household;120.6782;1310.9602;2004;Small;OUT035
FDS48;Tier 3;Supermarket Type1;15.15;Low Fat;0.027756137;Baking Goods;150.4708;2106.5912;1987;High;OUT013
FDS33;Tier 1;Supermarket Type1;6.67;Regular;0.123620492;Snack Foods;90.0514;1505.3738;1999;Medium;OUT049
FDU19;Tier 3;Supermarket Type2;8.77;Regular;0.046962004;Fruits and Vegetables;173.8422;3448.844;2009;Medium;OUT018
FDB51;Tier 3;Supermarket Type2;6.92;Low Fat;0.038610722;Dairy;61.4852;1314.2892;2009;Medium;OUT018
NCP02;Tier 3;Supermarket Type1;7.105;Low Fat;0.044771473;Household;58.2562;592.562;1987;High;OUT013
FDS24;Tier 2;Supermarket Type1;20.85;Regular;0.062212713;Baking Goods;88.1514;1151.1682;2004;Small;OUT035
FDU20;Tier 3;Supermarket Type1;19.35;Regular;0.021439694;Fruits and Vegetables;119.7098;1325.6078;1987;High;OUT013
FDB52;Tier 3;Supermarket Type2;17.75;Low Fat;0.030559583;Dairy;257.4672;3835.008;2009;Medium;OUT018
NCE06;Tier 2;Supermarket Type1;5.825;Low Fat;0.091467933;Household;159.7894;1294.3152;2004;Small;OUT035
DRH03;Tier 1;Supermarket Type1;17.25;Low Fat;0.035118834;Dairy;93.412;932.12;1999;Medium;OUT049
FDT50;Tier 3;Supermarket Type2;6.75;Regular;0.108679906;Dairy;95.6752;1246.3776;2009;Medium;OUT018
FDS57;Tier 1;Supermarket Type1;15.5;Low Fat;0.103603094;Snack Foods;143.547;1431.47;1999;Medium;OUT049
FDZ47;Tier 1;Supermarket Type1;20.7;Regular;0.079419755;Baking Goods;99.8042;1488.063;1999;Medium;OUT049
FDZ45;Tier 3;Supermarket Type1;14.1;Low Fat;0.06682033;Snack Foods;198.9084;4761.8016;1987;High;OUT013
FDZ28;Tier 3;Supermarket Type2;20;Regular;0.051702257;Frozen Foods;125.8678;763.0068;2009;Medium;OUT018
FDZ10;Tier 1;Supermarket Type1;17.85;Low Fat;0.044463491;Snack Foods;127.102;2024.032;1997;Small;OUT046
FDC39;Tier 2;Supermarket Type1;7.405;Low Fat;0.159165324;Dairy;207.1296;3739.1328;2004;Small;OUT035
FDC33;Tier 3;Supermarket Type2;8.96;Regular;0.069219165;Fruits and Vegetables;196.5768;2759.0752;2009;Medium;OUT018
FDE34;Tier 1;Supermarket Type1;9.195;Low Fat;0.108059141;Snack Foods;181.7634;6179.9556;1999;Medium;OUT049
NCG42;Tier 1;Supermarket Type1;19.2;Low Fat;0.041291929;Household;130.131;1038.648;1999;Medium;OUT049
NCZ06;Tier 3;Supermarket Type1;19.6;Low Fat;0.094083303;Household;252.2698;2790.3678;1987;High;OUT013
NCT54;Tier 2;Supermarket Type1;8.695;Low Fat;0.119513002;Household;93.4094;856.8846;2004;Small;OUT035
