INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,,2018-09-02 13:00:00,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053,"(42.35779134, -71.13937053)"
I182070933,724,Auto Theft,AUTO THEFT,B2,330,,2018-09-03 21:25:00,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.0827326,"(42.30607218, -71.08273260)"
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,2018-09-03 20:48:00,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070915,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,,2018-09-02 18:00:00,2018,9,Sunday,18,Part One,SHIRLEY ST,42.3256949,-71.06816778,"(42.32569490, -71.06816778)"
I182070908,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,,2018-09-03 18:38:00,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182070904,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,,2018-09-03 18:34:00,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882,"(42.31731905, -71.06150882)"
I182070900,2629,Harassment,HARASSMENT,B3,464,,2018-09-03 18:17:00,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335,"(42.28810362, -71.09153335)"
I182070898,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,,2018-09-03 19:11:00,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.059172,"(42.29928376, -71.05917200)"
I182070897,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,,2018-09-03 18:37:00,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418,"(42.30524752, -71.08089418)"
I182070893,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,,2018-09-03 18:44:00,2018,9,Monday,18,Part One,WILMORE ST,42.2779637,-71.09246318,"(42.27796370, -71.09246318)"
I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,,2018-09-03 17:54:00,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607,"(42.33318299, -71.08307607)"
I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,,2018-09-03 17:17:00,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184,"(42.30154555, -71.08118184)"
I182070875,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,,2018-09-03 16:55:00,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395,"(42.35108400, -71.05939500)"
I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,,2018-09-03 16:00:00,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,,2018-09-03 06:15:00,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675,"(42.33539970, -71.15025675)"
I182070858,2629,Harassment,HARASSMENT,E18,547,,2018-09-03 14:00:00,2018,9,Monday,14,Part Two,DEFOREST ST,42.2675628,-71.1297447,"(42.26756280, -71.12974470)"
I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-09-03 14:31:00,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182070854,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,,2018-09-03 15:27:00,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.0630687,"(42.31526714, -71.06306870)"
I182070852,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,,2018-09-02 12:30:00,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799,"(42.27169454, -71.14650799)"
I182070847,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,,2018-09-03 13:07:00,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,,2018-09-03 14:07:00,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667,"(42.28512354, -71.04405667)"
I182070844,724,Auto Theft,AUTO THEFT,D4,154,,2018-09-03 15:01:00,2018,9,Monday,15,Part One,TREMONT ST,42.3411289,-71.07692951,"(42.34112890, -71.07692951)"
I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,,2018-08-23 10:41:00,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859,"(42.35085449, -71.13408859)"
I182070828,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-09-03 10:00:00,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.34797240, -71.07849582)"
I182070823,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,330,,2018-09-03 14:00:00,2018,9,Monday,14,Part One,BLUE HILL AVE,42.3078214,-71.08354076,"(42.30782140, -71.08354076)"
I182070816,619,Larceny,LARCENY ALL OTHERS,C6,185,,2018-09-03 12:45:00,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070815,423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,2018-09-03 12:40:00,2018,9,Monday,12,Part One,CENTRE ST,42.32259354,-71.10619643,"(42.32259354, -71.10619643)"
I182070813,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,2018-09-03 03:00:00,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.10069510)"
I182070806,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,,2018-09-03 12:23:00,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497,"(42.29328831, -71.06219497)"
I182070805,616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,,2018-09-02 21:51:00,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967,"(42.29277202, -71.12138967)"
I182070804,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,,2018-09-03 11:00:00,2018,9,Monday,11,Part One,CHAMPNEY ST,42.3524123,-71.16878833,"(42.35241230, -71.16878833)"
I182070798,2629,Harassment,HARASSMENT,C11,450,,2018-09-03 11:36:00,2018,9,Monday,11,Part Two,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
