Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
-3;119;855;479;224;93;45;473;457;129;58;1;24
-2;142;879;497;276;96;48;548;510;135;63;1;24
-1;152;909;481;239;104;52;523;493;144;57;1;24
0;129;872;504;239;102;44;489;479;136;56;1;25
1;118;874;461;235;103;45;470;461;137;61;1;25
2;148;875;505;252;101;51;513;467;132;61;1;25
3;121;899;496;246;104;53;498;472;145;60;1;25
4;102;813;497;213;87;42;464;422;116;56;1;26
5;120;858;494;242;94;50;481;475;130;55;1;26
6;129;865;504;211;105;53;480;471;136;62;1;26
7;129;881;485;239;86;43;491;459;139;62;1;26
8;126;886;512;224;98;52;471;464;133;59;1;26
9;143;895;484;250;112;54;507;493;153;64;1;27
10;124;878;489;236;101;51;503;459;141;62;1;28
11;122;885;480;237;100;50;509;448;138;60;1;28
12;128;887;504;233;91;50;490;444;129;61;1;28
13;127;920;487;240;104;52;491;450;142;60;1;28
14;131;921;487;227;101;56;479;448;151;63;1;28
15;107;833;458;213;93;46;450;428;128;56;1;29
16;138;876;494;238;88;53;502;486;132;62;1;29
17;140;885;494;233;106;50;517;461;144;60;1;29
18;120;889;494;230;95;50;492;421;137;61;1;29
19;117;893;480;227;95;44;482;457;137;56;1;29
20;124;930;488;233;105;49;462;479;153;60;1;29
21;141;938;522;227;104;54;498;433;154;61;1;29
22;145;944;531;246;106;56;507;492;154;66;1;29
23;143;912;512;240;105;50;528;502;141;60;1;30
24;140;931;494;242;105;50;505;461;150;67;1;30
25;147;935;498;235;106;51;520;505;153;61;1;30
26;148;951;483;258;105;53;523;487;150;61;1;30
27;148;974;510;245;107;59;492;506;155;66;1;30
28;158;981;511;260;111;54;522;508;159;67;1;30
29;194;1029;519;257;126;59;537;509;178;64;1;30
30;137;929;494;238;106;53;513;484;146;58;1;31
31;146;930;488;235;108;53;532;505;144;63;1;31
32;123;885;460;232;96;42;471;460;138;53;1;32
33;154;965;513;269;118;52;521;552;163;67;1;32
34;188;993;500;274;123;59;562;571;174;72;1;32
35;135;893;488;230;100;49;505;488;138;65;1;33
36;140;933;503;243;107;51;492;512;143;63;1;33
37;130;959;492;241;109;54;515;448;154;61;1;33
38;164;972;516;262;107;49;528;514;155;60;1;33
39;122;884;493;244;101;46;484;437;145;57;1;34
40;133;910;497;251;109;51;520;468;146;59;1;34
41;132;918;508;228;102;51;492;487;141;60;1;34
42;149;941;495;229;108;60;510;486;153;67;1;34
43;150;943;495;248;107;51;518;509;150;62;1;34
44;148;948;490;237;110;60;505;444;159;67;1;34
45;147;950;505;251;111;53;529;483;162;62;1;34
46;127;890;501;235;97;46;495;472;130;59;1;35
47;140;917;510;250;109;51;516;449;148;62;1;35
48;131;924;518;237;102;51;512;469;145;58;1;35
49;120;908;498;235;99;47;504;440;143;56;1;36
50;140;913;511;250;106;50;524;499;141;62;1;36
51;141;944;504;245;108;52;493;460;151;69;1;36
52;151;950;525;244;115;56;496;481;152;62;1;36
53;140;953;488;258;112;51;500;515;161;62;1;36
54;156;962;504;254;116;52;502;499;156;64;1;36
55;153;985;494;265;117;52;542;498;161;66;1;36
56;162;997;501;245;117;57;531;506;161;64;1;36
57;155;1002;515;257;108;53;527;485;156;63;1;36
58;166;1004;484;269;111;56;532;525;155;67;1;36
59;167;1004;539;260;111;60;535;499;158;67;1;36
