Title,Summary,Enrollment,Stars,Rating,Link,Category,count_students,course_length,course_rating,days_since_released
Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,692812,4.5,132228,https://www.udemy.com/course/machinelearning/,Tech,807315.0,44.0,4.5,1844.0
Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",387789,4.6,87403,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/,Tech,479342.0,25.0,4.6,1898.0
The Data Science Course 2020: Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",325047,4.5,76907,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/,Tech,427388.0,28.5,4.6,1193.0
The Complete Web Developer in 2020: Zero to Mastery,"Learn to code and become a Web Developer in 2020 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",138822,4.7,40976,https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,Tech,168362.0,35.5,4.7,1411.0
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,278698,4.5,33454,https://www.udemy.com/course/deeplearning/,Tech,314461.0,22.5,4.6,1648.0
Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",180119,4.6,27767,https://www.udemy.com/course/datascience/,Tech,193563.0,21.0,4.6,2310.0
"Machine Learning, Data Science and Deep Learning with Python","Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",134241,4.5,22596,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,Tech,153960.0,15.5,4.7,2138.0
Complete Python Developer in 2020: Zero to Mastery,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more",82801,4.7,20026,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,Tech,122713.0,30.5,4.7,793.0
Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",82001,4.5,17586,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,Tech,115874.0,5.0,4.6,1526.0
Artificial Intelligence A-Z™: Learn How To Build An AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",139477,4.3,16348,https://www.udemy.com/course/artificial-intelligence-az/,Tech,164974.0,16.5,4.3,1590.0
Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,82159,4.4,15121,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Tech,90003.0,14.0,4.4,1495.0
Python for Financial Analysis and Algorithmic Trading,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",89731,4.6,13530,https://www.udemy.com/course/python-for-finance-and-trading-algorithms/,Tech,107521.0,16.5,4.5,1596.0
Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",61007,4.5,12410,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,Tech,82784.0,10.5,4.6,1809.0
Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,61305,4.6,11860,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Tech,73486.0,17.5,4.7,1988.0
Data Analysis with Pandas and Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,136428,4.7,10979,https://www.udemy.com/course/data-analysis-with-pandas/,Tech,153012.0,20.5,4.6,1864.0
Data Science: Natural Language Processing (NLP) in Python,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis. ",34547,4.5,8845,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,Tech,39056.0,12.0,4.6,2057.0
